id,amostras,classe,f_ppm,cl_ppm,ce_ppm,dy_ppm,er_ppm,eu_ppm,gd_ppm,ho_ppm,la_ppm,lu_ppm,nd_ppm,pr_ppm,sm_ppm,tb_ppm,tm_ppm,yb_ppm,ba_ppm,be_ppm,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,w_ppm,y_ppm,zr_ppm,ag_ppm,au_ppm,as_ppm,bi_ppm,cd_ppm,co_ppm,cu_ppm,hg_ppm,mo_ppm,ni_ppm,pb_ppm,sb_ppm,se_ppm,zn_ppm,si_o2_pct,al2o3_pct,fe2o3_pct,ca_o_pct,mg_o_pct,ti_o2_pct,p2o5_pct,na2o_pct,k2o_pct,mn_o_pct,la_pct,ce_pct,pr_pct,nd_pct,sm_pct,nb_pct,loi_pct,point_x,point_y,aspect,ast_ferric,b11,b12,b2,b3,b4,b5,b6,b7,b8,b8a,clayminera,convergenc,curv_cross,curv_flow_,curv_gener,curv_longi,curv_maxim,curv_minim,curv_plan,curv_profi,curv_tange,curv_total,deteccao_a,diurnal_an,elevation,ferric_iro,ferric_oxi,ferroginou,ferrous_ir,ferrous_si,ferrous__1,ferroussil,goethitaha,gossan_ast,laterite,ls_factor,mass_balan,mid_slope_,mrrtf,mrvbf,ndvi,normalized,real_surfa,saga_wetne,savi,slope_degr,slope_heig,slope_idx,standardiz,surface_sp,terrain_ru,terrain_su,terrain__1,topographi,topograp_1,valley,valley_dep,valley_idx,vector_rug,vertical_h,vv,zonasalter
"16",4183-MS-R-187,ROCHA,"253","0",2167.000000000000000,13.820000000000000,4.800000000000000,16.510000000000002,28.600000000000001,1.930000000000000,400.399999999999977,0.420000000000000,306.800000000000011,92.219999999999999,65.700000000000003,3.180000000000000,0.650000000000000,3.700000000000000,"0",22.800000000000001,0.050000000000000,47.299999999999997,0.890000000000000,"12177",1.100000000000000,2.500000000000000,71.500000000000000,0.420000000000000,585.399999999999977,1.730000000000000,3.200000000000000,32.680000000000000,33.100000000000001,"0.21",NA,"2",0.140000000000000,2.800000000000000,302.300000000000011,56.600000000000001,0.130000000000000,110.870000000000005,7.900000000000000,103.799999999999997,1.100000000000000,"3","1789",0.550000000000000,1.080000000000000,29.300000000000001,0.030000000000000,"0.11",0.000000000000000,0.190000000000000,"0.18","0.1",46.799999999999997,NA,NA,NA,NA,NA,"0",10.400000000000000,757038.130000000004657,10032495.349999999627471,327.486236572266023,1.954685449600220,0.168799996376038,0.068899996578693,0.027699999511242,0.046799998730421,0.024199999868870,0.079099997878075,0.238499999046326,0.300700008869171,0.306400001049042,0.336800009012222,2.449927568435670,4.545541286468510,0.001470420393161,-0.000002722931413,0.003270492656156,0.001800072146580,0.001026808633469,0.000608437578194,0.004544488620013,0.000888578244485,0.000704963400494,0.000001383046651,0.101467505097389,-0.088594250380993,157.870849609375000,0.517094016075134,0.550913810729980,7.196581363677980,0.590570330619812,0.408175349235535,2.158753633499150,0.408175349235535,1.689530611038210,0.590570330619812,2.449927568435670,2.021142721176150,0.141986817121506,0.423717349767685,0.069252759218216,0.061582408845425,0.853599488735199,0.711858689785004,404.901397705078011,4.071847438812260,0.544599294662476,8.924040794372560,71.056175231933594,"1",129.352966308594006,"0",1.991780281066890,99.864517211914105,0.041871525347233,1.950194239616390,6.567941188812260,"0",28.761636734008800,"0",0.000106955201773,"171","300",1.815165877342220
"17",4183-MS-R-186,ROCHA,"203","0",827.899999999999977,47.380000000000003,14.930000000000000,56.750000000000000,104.000000000000000,6.510000000000000,309.699999999999989,1.100000000000000,571.500000000000000,115.260000000000005,196.699999999999989,11.490000000000000,2.040000000000000,10.000000000000000,"0",9.699999999999999,0.120000000000000,67.200000000000003,5.770000000000000,"92356",0.500000000000000,7.800000000000000,46.100000000000001,0.920000000000000,577.600000000000023,1.040000000000000,10.699999999999999,91.549999999999997,286.000000000000000,NA,NA,"17",0.720000000000000,2.410000000000000,471.699999999999989,53.000000000000000,0.850000000000000,61.829999999999998,5.500000000000000,83.500000000000000,1.130000000000000,"11","885",0.210000000000000,3.310000000000000,18.500000000000000,0.020000000000000,NA,0.260000000000000,0.210000000000000,"0.57","0.1",49.600000000000001,NA,NA,NA,NA,NA,"0",11.020000000000000,757073.630000000004657,10032518.529999999329448,339.495269775391023,1.931109547615050,0.177100002765656,0.075400002300739,0.028200000524521,0.047200001776218,0.025699999183416,0.082699999213219,0.235499992966652,0.302100002765656,0.288700014352798,0.342700004577637,2.348806381225590,4.915237426757810,0.001444002729841,-0.000003805148935,0.003431777935475,0.001987775089219,0.001131358672865,0.000584530294873,0.004549419041723,0.000947749416810,0.000721917254850,0.000001547675765,0.109129510819912,-0.115565650165081,157.846099853515994,0.544491469860077,0.613439559936523,7.260592937469480,0.596180260181427,0.425748169422150,2.097746849060060,0.425748169422150,1.673758864402770,0.596180260181427,2.348806381225590,2.127712965011600,0.147997871041298,0.420109927654266,0.037371236830950,0.075050190091133,0.836513996124268,0.710054934024811,405.133239746093977,4.060190677642820,0.547558724880219,9.130483627319339,72.547103881835895,"1",129.156875610351989,"0",2.039037466049190,99.869178771972699,0.046349719166756,2.005028963088990,6.591166019439700,"0",29.624006271362301,"0",0.000112078996608,"97","246",1.630152463912960
"20",4183-MS-R-185,ROCHA,"186","0",419.000000000000000,25.739999999999998,7.750000000000000,28.190000000000001,57.259999999999998,4.040000000000000,206.199999999999989,0.550000000000000,239.800000000000011,54.509999999999998,92.299999999999997,6.090000000000000,1.070000000000000,5.300000000000000,"0",12.100000000000000,0.070000000000000,78.500000000000000,2.200000000000000,"45387",1.200000000000000,5.100000000000000,41.299999999999997,0.560000000000000,331.199999999999989,0.410000000000000,5.600000000000000,58.960000000000001,97.099999999999994,NA,NA,"7",0.400000000000000,3.750000000000000,372.500000000000000,50.700000000000003,0.330000000000000,132.939999999999998,9.400000000000000,139.500000000000000,1.290000000000000,"5","993",0.210000000000000,1.540000000000000,14.000000000000000,0.000000000000000,NA,0.070000000000000,0.150000000000000,NA,"0.12",56.299999999999997,NA,NA,NA,NA,NA,"0",9.859999999999999,757117.079999999958090,10032545.380000000819564,353.475097656250000,1.924796938896180,0.177799999713898,0.070900000631809,0.028799999505281,0.048200000077486,0.026100000366569,0.084399998188019,0.254200011491776,0.331200003623962,0.321500003337860,0.361600011587143,2.507757425308230,3.549704074859620,0.001301797688939,-0.000003271728474,0.002540969755501,0.001239172182977,0.000729925115593,0.000540559820365,0.003485297318548,0.000577441416681,0.000649951922242,0.000000824942958,0.102675057947636,-0.162139236927032,152.508300781250000,0.541493773460388,0.553032636642456,7.502074718475340,0.600759208202362,0.398762673139572,2.067271947860720,0.398762673139572,1.673611164093020,0.600759208202362,2.507757425308230,2.764693498611450,0.114119023084641,0.346700936555862,0.006957305129617,0.020396690815687,0.849827408790588,0.673350453376770,407.142089843750000,4.067495346069340,0.566914498806000,10.747660636901900,68.429557800292997,"1",121.930854797362997,"0",2.403661489486690,100.000000000000000,0.029139516875148,1.639265656471250,6.476307868957520,"0",33.195911407470703,"0",0.000064030289650,"150","160",1.808211445808410
"21",4183-MS-R-176,ROCHA,"984","163",391.500000000000000,30.030000000000001,11.740000000000000,37.990000000000002,72.120000000000005,4.980000000000000,253.699999999999989,1.380000000000000,216.099999999999994,49.009999999999998,124.599999999999994,6.930000000000000,1.580000000000000,9.699999999999999,"3024",31.000000000000000,0.000000000000000,44.299999999999997,19.210000000000001,NA,0.400000000000000,21.100000000000001,245.300000000000011,1.280000000000000,1285.000000000000000,1.200000000000000,31.699999999999999,107.159999999999997,1178.200000000000045,NA,NA,"37",1.530000000000000,0.400000000000000,30.000000000000000,19.199999999999999,0.100000000000000,38.390000000000001,6.400000000000000,139.500000000000000,2.030000000000000,"3","464",0.880000000000000,1.300000000000000,90.799999999999997,0.000000000000000,"0.18",0.910000000000000,0.760000000000000,"0.16",NA,0.720000000000000,NA,NA,NA,NA,NA,"0.38",3.630000000000000,757118.170000000041910,10032414.300000000745058,331.218292236328011,1.984533667564390,0.189899995923042,0.081699997186661,0.032600000500679,0.057599999010563,0.030899999663234,0.096900001168251,0.274100005626678,0.348899990320206,0.361400008201599,0.381900012493134,2.324357509613040,5.748523235321040,0.000797528366093,-0.000003390802021,-0.000181274415809,-0.000978802796453,0.000792688748334,-0.000883325934410,0.006135438103229,-0.000802470021881,0.000723791075870,0.000001318325758,0.112732574343681,-0.073619008064270,171.140899658203011,0.536458313465118,0.525456547737122,6.630208492279050,0.580839037895203,0.430226415395737,2.090142965316770,0.430226415395737,1.766871094703670,0.580839037895203,2.324357509613040,1.518661379814150,-0.008912053890526,0.381530463695526,0.279430001974106,0.199911698698997,0.842467486858368,0.690765261650085,402.812713623046989,3.863613605499270,0.576796710491180,6.774898052215580,83.381683349609403,"1",136.431793212890994,"0",1.503197312355040,48.765430450439503,0.211367696523666,-0.113031454384327,6.807677745819090,"0",37.327465057372997,"0",0.000105150051240,"124","288",1.903106927871700
"22",4183-MS-R-175,ROCHA,"532","139",114.700000000000003,17.260000000000002,4.760000000000000,27.670000000000002,42.939999999999998,2.150000000000000,77.299999999999997,0.390000000000000,193.699999999999989,35.640000000000001,103.200000000000003,4.400000000000000,0.570000000000000,3.100000000000000,"0",13.000000000000000,0.140000000000000,68.299999999999997,0.580000000000000,"1622",1.000000000000000,2.500000000000000,33.000000000000000,0.630000000000000,115.000000000000000,0.380000000000000,2.800000000000000,40.930000000000000,17.000000000000000,"0.47",NA,"0",0.090000000000000,2.950000000000000,305.800000000000011,46.100000000000001,0.110000000000000,198.280000000000001,7.300000000000000,55.600000000000001,1.050000000000000,"4","1094",0.170000000000000,0.710000000000000,8.010000000000000,0.010000000000000,"0.11",0.010000000000000,0.090000000000000,NA,"0.08",63.899999999999999,NA,NA,NA,NA,NA,"0",10.119999999999999,757152.619999999995343,10032436.419999999925494,343.875579833983977,1.981876492500310,0.181799992918968,0.077299997210503,0.029600000008941,0.053700000047684,0.029200000688434,0.089400000870228,0.248799994587898,0.320699989795685,0.325300008058548,0.354099988937378,2.351875782012940,3.623377561569210,0.000520541449077,-0.000007910711247,-0.000447464000899,-0.000968005449977,0.000634615775198,-0.000858347746544,0.003311974694952,-0.000646520871669,0.000436146918219,0.000001035960395,0.117363348603249,-0.102587707340717,170.701995849609006,0.543761670589447,0.558868706226349,6.594040870666500,0.588117659091949,0.425192534923553,2.076667785644530,0.425192534923553,1.814189195632930,0.588117659091949,2.351875782012940,1.705922365188600,-0.021692594513297,0.376725316047668,0.102155216038227,0.224322497844696,0.835260927677155,0.688362658023834,403.514099121093977,3.858864068984990,0.551737785339355,7.567139148712160,82.667701721191406,"1",135.860000610351989,"0",1.680980443954470,47.864910125732401,0.213070735335350,-0.225666373968124,6.790049076080320,"0",37.425537109375000,"0",0.000084628904006,"143","256",1.789329051971440
"23",4183-MS-R-184,ROCHA,"654","0",2051.000000000000000,28.420000000000002,7.670000000000000,57.039999999999999,90.450000000000003,3.360000000000000,477.500000000000000,0.760000000000000,884.700000000000045,190.030000000000001,217.300000000000011,8.090000000000000,1.120000000000000,6.400000000000000,"0",20.399999999999999,0.630000000000000,45.600000000000001,2.350000000000000,NA,0.000000000000000,6.100000000000000,345.399999999999977,0.400000000000000,2515.000000000000000,2.140000000000000,7.300000000000000,79.430000000000007,80.700000000000003,NA,NA,"5",2.130000000000000,4.720000000000000,289.000000000000000,85.500000000000000,0.170000000000000,82.989999999999995,14.400000000000000,588.100000000000023,3.050000000000000,"6","1224",0.380000000000000,2.180000000000000,41.399999999999999,0.020000000000000,"0.12",0.090000000000000,0.810000000000000,"0.14","0.06",33.600000000000001,NA,NA,NA,NA,NA,"0.23",8.580000000000000,757154.709999999962747,10032568.550000000745058,0.424012839794159,2.093866586685180,0.164900004863739,0.065399996936321,0.028699999675155,0.046000000089407,0.024000000208616,0.078699998557568,0.241500005125999,0.315299987792969,0.311899989843369,0.352200001478195,2.521406888961790,2.064193725585940,0.000927022367250,-0.000006756486982,0.002062530489638,0.001135508180596,0.000693165056873,0.000338100217050,0.002260238630697,0.000535030150786,0.000452932843473,0.000000589602564,0.099378883838654,-0.184489309787750,148.938690185546989,0.521739125251770,0.528695106506348,7.656521797180180,0.545080840587616,0.396603971719742,2.126349210739140,0.396603971719742,1.602787494659420,0.545080840587616,2.521406888961790,3.019419908523560,0.094726413488388,0.259188652038574,0.008950593881309,0.003349957987666,0.857100307941437,0.629594326019287,408.281646728516023,4.102123737335210,0.561857998371124,11.559859275817900,64.738685607910199,"1",115.587463378905994,"-1",2.588915348052980,99.864517211914105,0.022031249478459,1.369867324829100,6.318639755249020,"0",38.087345123291001,"0",0.000045177162974,"125","235",1.891449213027950
"26",4183-MS-R-165,ROCHA,"1995","0",1390.000000000000000,28.969999999999999,7.580000000000000,39.149999999999999,83.439999999999998,3.840000000000000,646.700000000000045,0.430000000000000,422.300000000000011,119.689999999999998,131.699999999999989,7.960000000000000,0.710000000000000,4.000000000000000,"0",23.000000000000000,0.080000000000000,8.400000000000000,4.160000000000000,NA,0.400000000000000,19.500000000000000,963.899999999999977,2.090000000000000,2052.000000000000000,1.710000000000000,15.199999999999999,88.629999999999995,153.500000000000000,NA,NA,"13",1.570000000000000,0.510000000000000,15.800000000000001,23.300000000000001,0.230000000000000,9.020000000000000,6.400000000000000,142.300000000000011,1.920000000000000,"4","658",0.460000000000000,5.170000000000000,77.400000000000006,0.030000000000000,"0.15",0.440000000000000,3.580000000000000,"0.17","0.01",0.400000000000000,NA,NA,NA,NA,NA,"0.24",9.130000000000001,757187.089999999967404,10032333.769999999552965,336.279205322266023,1.931414723396300,0.185299992561340,0.081500001251697,0.035000000149012,0.056099999696016,0.031800001859665,0.097800001502037,0.254099994897842,0.322600007057190,0.313800007104874,0.351500004529953,2.273619413375850,5.382348537445070,0.002816509222612,-0.000013325572581,0.000707168597728,-0.002109340624884,0.002220630412921,-0.001867046230473,0.005344892386347,-0.001295223133639,0.001792458235286,0.000006041725555,0.125147596001625,-0.227987214922905,195.613220214844006,0.566844940185547,0.590503454208374,6.265597343444820,0.613217353820801,0.439827322959900,2.023870468139650,0.439827322959900,1.602857112884520,0.613217353820801,2.273619413375850,5.798570156097410,0.034912161529064,0.466607213020325,0.000002788485062,0.000002557814923,0.815972208976746,0.733303606510162,424.587707519531023,3.680645227432250,0.542907297611237,19.594375610351602,104.645484924315994,"1",159.152023315430000,"0",4.507075786590580,47.282341003417997,0.418907195329666,0.587524950504303,5.519428730010990,"0",38.058689117431598,"0",0.000414862501202,"120","187",1.693470120429990
"27",4183-MS-R-174,ROCHA,"304","38",309.399999999999977,41.469999999999999,9.949999999999999,77.930000000000007,167.560000000000002,4.900000000000000,88.099999999999994,0.710000000000000,320.100000000000023,45.719999999999999,210.000000000000000,14.029999999999999,1.180000000000000,6.200000000000000,"0",13.699999999999999,0.110000000000000,41.799999999999997,1.210000000000000,"53072",0.600000000000000,9.900000000000000,72.700000000000003,0.830000000000000,1313.000000000000000,0.190000000000000,6.900000000000000,96.530000000000001,42.899999999999999,NA,NA,"0",0.340000000000000,2.660000000000000,258.500000000000000,58.600000000000001,0.290000000000000,74.609999999999999,15.000000000000000,87.299999999999997,1.840000000000000,"8","1079",0.480000000000000,1.310000000000000,45.700000000000003,0.020000000000000,NA,0.100000000000000,0.270000000000000,"0.11","0.03",35.000000000000000,NA,NA,NA,NA,NA,"0",9.420000000000000,757190.239999999990687,10032461.169999999925494,355.251373291016023,1.988527059555050,0.189199998974800,0.081699997186661,0.030099999159575,0.053599998354912,0.030200000852346,0.089599996805191,0.260500013828278,0.325199991464615,0.334300011396408,0.359800010919571,2.315789461135860,2.097487926483150,0.000348263536580,-0.000007769632248,0.000862274144311,0.000514010665938,0.000584423309192,-0.000153286237037,0.001387573662214,0.000220598754822,0.000201240283786,0.000000354771771,0.115930899977684,-0.128490179777145,166.274765014648011,0.563432872295380,0.565958678722382,6.712687015533450,0.589876770973206,0.431818157434464,2.019225597381590,0.431818157434464,1.780730843544010,0.589876770973206,2.315789461135860,1.937085151672360,0.041728928685188,0.317198604345322,0.056615918874741,0.151359632611275,0.834293544292450,0.658599317073822,404.274322509766023,3.914900302886960,0.555505633354187,8.339035987854000,73.862068176269503,"1",129.616592407226989,"0",1.854553222656250,83.607681274414105,0.146905347704887,0.557737588882446,6.729508399963380,"0",38.288169860839801,"0",0.000028755785024,"143","280",1.766913414001460
"28",4183-MS-R-183,ROCHA,"741","0",1064.000000000000000,20.300000000000001,7.820000000000000,16.789999999999999,35.439999999999998,3.180000000000000,344.800000000000011,0.740000000000000,201.900000000000006,56.539999999999999,61.500000000000000,4.320000000000000,1.190000000000000,6.300000000000000,"0",20.399999999999999,0.160000000000000,75.900000000000006,9.949999999999999,NA,0.000000000000000,13.400000000000000,134.400000000000006,1.080000000000000,674.200000000000045,0.860000000000000,16.600000000000001,67.640000000000001,444.699999999999989,NA,NA,"10",0.730000000000000,4.930000000000000,511.699999999999989,140.199999999999989,0.270000000000000,73.299999999999997,21.600000000000001,160.300000000000011,1.550000000000000,"4","1673",0.290000000000000,4.390000000000000,9.210000000000001,0.020000000000000,NA,0.390000000000000,0.280000000000000,"0.12","0.08",55.299999999999997,NA,NA,NA,NA,NA,"0.25",10.800000000000001,757192.859999999986030,10032595.410000000149012,7.127750873565670,1.939903140068050,0.176499992609024,0.074600003659725,0.029799999669194,0.048399999737740,0.026200000196695,0.082599997520447,0.251399993896484,0.328200012445450,0.326700001955032,0.360100001096725,2.365951538085940,1.681241512298580,0.001120057422668,-0.000021686928449,0.002255172701553,0.001135115278885,0.000987340346910,0.000140245989314,0.002230272628367,0.000573673169129,0.000495859072544,0.000000989670525,0.104216389358044,-0.212666764855385,144.081573486328011,0.541322350502014,0.540250957012177,7.440082550048830,0.597090482711792,0.422662913799286,2.075672388076780,0.422662913799286,1.624161124229430,0.597090482711792,2.365951538085940,3.740603923797610,0.102824829518795,0.138117134571075,0.000751089537516,0.002317451639101,0.851516008377075,0.569058597087860,410.268524169921989,4.114493846893310,0.565102100372314,12.845990180969199,57.242122650146499,"1",107.372856140137003,"0",2.886262655258180,96.330589294433594,0.013838107697666,1.278876543045040,6.568190574646000,"0",43.348793029785199,"0",0.000072194714448,"158","254",1.850991606712340
"31",4183-MS-R-164,ROCHA,"486","0",136.199999999999989,36.049999999999997,5.660000000000000,151.719999999999999,222.759999999999991,3.270000000000000,220.800000000000011,0.160000000000000,309.300000000000011,52.170000000000002,497.000000000000000,14.600000000000000,0.510000000000000,2.800000000000000,"0",17.600000000000001,0.190000000000000,22.300000000000001,2.270000000000000,NA,0.400000000000000,212.599999999999994,668.399999999999977,2.260000000000000,690.700000000000045,1.500000000000000,78.700000000000003,68.909999999999997,63.200000000000003,NA,NA,"0",0.800000000000000,2.200000000000000,124.900000000000006,33.200000000000003,0.180000000000000,21.260000000000002,7.900000000000000,148.800000000000011,1.580000000000000,"5","1268",0.490000000000000,1.520000000000000,62.399999999999999,0.010000000000000,"0.13",2.460000000000000,0.840000000000000,"0.21","0.01",19.800000000000001,NA,NA,NA,NA,NA,"1.09",6.810000000000000,757229.479999999981374,10032359.570000000298023,349.021301269531023,1.962740421295170,0.186900004744530,0.080700002610683,0.034899998456240,0.059399999678135,0.035399999469519,0.098899997770786,0.261700004339218,0.320199996232986,0.327399998903275,0.350400000810623,2.315985202789310,4.517958164215090,0.002806261181831,-0.000019976250769,-0.001114807091653,-0.003921068273485,0.002193516585976,-0.002750920131803,0.004495183471590,-0.001785560743883,0.001474149641581,0.000006975227734,0.135269388556480,-0.268961071968079,192.998413085938012,0.595959603786469,0.570861339569092,5.898990154266360,0.603605747222900,0.431781709194183,1.924453616142270,0.431781709194183,1.702005743980410,0.603605747222900,2.315985202789310,5.583503246307370,-0.051646985113621,0.411308169364929,0.000002039572109,0.000006302856946,0.804851174354553,0.705654084682465,423.415466308593977,3.645345449447630,0.533416152000427,19.143779754638700,93.494789123535199,"1",153.526794433594006,"0",4.401091098785400,32.716049194335902,0.381957620382309,-0.445193618535995,5.601630210876460,"0",38.999008178710902,"0",0.000438034010585,"115","283",1.751738905906680
